deal_id,acquirer_name,target_name,sector,region,acquirer_type,deal_status,deal_size_musd,target_revenue_musd,target_ebitda_margin_pct,target_revenue_growth_pct,target_net_debt_ebitda,customer_concentration_top5_pct,litigation_flag,cyber_incidents_last_3y,regulatory_fines_last_3y_musd,hr_attrition_rate_pct,key_person_risk_level_1_low_3_high,cultural_distance_score_1_10,integration_complexity_score_1_10,it_integration_risk_1_10,data_privacy_risk_1_10,supply_chain_top3_spend_pct,synergy_realization_score_1_10,overall_deal_risk_score_1_10,overall_deal_risk_bucket
DEAL_1000,Atlas Group,AgriNova Inc,FMCG,Europe,Strategic,Announced,29.82,100.11,13.4,5.8,1.8,36.9,0,0,0.0,14.1,2,3.4,7.2,10.0,5.3,36.8,5.6,3.84,Low
DEAL_1001,BlueRiver Holdings,FinBeacon Ltd,Renewable Energy,North America,Sovereign Fund,Terminated,16.11,45.83,13.2,20.1,2.58,16.5,0,0,0.0,20.7,1,6.8,6.3,5.2,3.9,12.8,5.2,3.45,Low
DEAL_1002,BlueRiver Ltd,Skyline Group,Media,LATAM,Private Equity,Announced,36.87,93.0,25.2,13.5,2.31,18.5,0,0,0.0,24.8,2,7.1,6.6,3.2,4.3,49.6,7.9,3.71,Low
DEAL_1003,Summit PLC,FinBeacon Corp,Media,Europe,Strategic,Announced,26.07,45.63,18.7,-2.9,2.29,48.0,0,0,0.0,23.2,3,7.3,6.7,4.3,5.5,36.5,8.2,4.23,Low
DEAL_1004,Summit Group,Skyline PLC,Software,North America,Strategic,Closed,30.18,63.86,18.0,7.6,0.62,20.4,0,1,0.0,16.8,3,5.0,2.7,3.1,2.5,36.5,5.7,2.37,Low
DEAL_1005,Nimbus Group,MetaWave Inc,Software,North America,Strategic,Announced,31.12,54.36,24.1,2.1,1.51,28.9,0,0,0.0,8.2,2,9.3,7.7,5.5,3.8,44.7,4.3,3.73,Low
DEAL_1006,Cresta Holdings,Horizon Ltd,Industrial,North America,Private Equity,Closed,28.33,22.96,9.8,13.4,0.21,32.5,0,0,0.0,21.5,3,4.3,8.1,7.4,8.1,43.5,6.2,3.84,Low
DEAL_1007,Altair Inc,Quantum PLC,Fintech,Europe,Private Equity,Closed,41.02,30.79,12.0,2.2,3.68,41.6,0,0,6.89,17.5,3,5.9,8.4,6.7,10.0,36.4,4.0,4.89,Medium
DEAL_1008,Vertex Group,Starlance Holdings,Software,APAC ex-India,Sovereign Fund,Pending Regulatory Approval,23.95,47.75,23.7,11.8,2.5,35.2,0,2,0.0,19.6,3,3.0,6.1,3.0,5.2,43.4,8.4,3.53,Low
DEAL_1009,Atlas Inc,UrbanLeaf Ltd,Telecom,Europe,Private Equity,Pending Regulatory Approval,51.3,74.37,45.0,12.4,4.19,38.9,0,0,0.0,17.7,2,3.7,7.4,2.0,3.6,51.3,6.6,3.87,Low
DEAL_1010,BlueRiver Group,TrustBank Group,Healthcare,LATAM,Strategic,Closed,11.54,34.49,21.4,1.2,0.0,12.5,0,0,0.85,23.8,1,5.5,7.2,10.0,5.0,59.8,5.7,3.65,Low
DEAL_1011,Vertex Group,UrbanLeaf Corp,FMCG,North America,Strategic,Announced,20.16,38.0,13.6,15.6,5.56,23.1,0,0,0.0,23.3,3,5.9,7.9,6.8,6.6,19.5,6.9,4.75,Medium
